price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,sale_year,house_age,age_since_renovation,is_renovated,Total_rooms,Price_per_sqft,Rooms_per_floor,basement_ratio,LivingLot_ratio,cluster
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,47.5112,-122.257,1340,5650,2014,59,59,0,4.0,188.05084745762713,4.0,0.0,0.2088495575221239,0
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,47.721,-122.319,1690,7639,2014,63,23,1,5.25,209.3385214007782,2.625,0.1556420233463035,0.3548743441038387,1
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,47.7379,-122.233,2720,8062,2015,82,82,0,3.0,233.76623376623377,3.0,0.0,0.077,1
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,47.5208,-122.393,1360,5000,2014,49,49,0,7.0,308.16326530612247,7.0,0.4642857142857143,0.392,1
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,47.6168,-122.045,1800,7503,2015,28,28,0,5.0,303.57142857142856,5.0,0.0,0.2079207920792079,2
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,47.6561,-122.005,4760,101930,2014,13,13,0,8.5,226.01476014760146,8.5,0.2822878228782288,0.05317374668890415,2
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,47.3097,-122.327,2238,6819,2014,19,19,0,5.25,150.14577259475217,2.625,0.0,0.2515031529549787,0
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,47.4095,-122.315,1650,9711,2015,52,52,0,4.5,275.3301886792453,4.5,0.0,0.10915456698589229,0
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,47.5123,-122.337,1780,8113,2015,55,55,0,4.0,128.93258426966293,4.0,0.4101123595505618,0.23828647925033467,1
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,47.3684,-122.031,2390,7570,2015,12,12,0,5.5,170.8994708994709,2.75,0.0,0.28810975609756095,0
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,47.6007,-122.145,2210,8925,2015,50,50,0,5.5,186.09550561797752,5.5,0.47752808988764045,0.3634136382196815,2
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,47.69,-122.292,1330,6000,2014,72,72,0,3.0,403.44827586206895,3.0,0.25862068965517243,0.19333333333333333,1
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,47.7558,-122.229,1780,12697,2014,87,87,0,4.0,216.78321678321677,2.6666666666666665,0.0,0.07185568564393749,1
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,47.6127,-122.045,1370,10208,2014,37,37,0,4.75,291.97080291970804,4.75,0.0,0.1415289256198347,2
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,47.67,-122.394,1360,4850,2015,115,115,0,7.0,292.81767955801104,4.666666666666667,0.0,0.3731958762886598,1
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,47.5714,-122.375,2140,4000,2015,36,36,0,7.0,220.33898305084745,3.5,0.3288135593220339,0.59,1
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,47.7277,-121.962,1890,14018,2014,20,20,0,5.0,208.994708994709,2.5,0.0,0.1346153846153846,2
485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,47.6648,-122.343,1610,4300,2014,98,98,0,5.0,303.125,3.3333333333333335,0.0,0.37209302325581395,1
189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,47.3089,-122.21,1060,5095,2014,93,93,0,3.0,157.5,3.0,0.0,0.1218274111675127,0
230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,47.3343,-122.306,1280,8850,2015,46,46,0,4.0,184.0,4.0,0.0,0.127890321260487,0
385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,47.7025,-122.341,1400,4980,2014,67,67,0,5.75,237.65432098765433,5.75,0.4691358024691358,0.3253012048192771,1
2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,47.5316,-122.233,4110,20336,2014,46,46,0,5.75,655.7377049180328,5.75,0.2360655737704918,0.06797869258029286,0
285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,47.3266,-122.169,2240,7005,2014,19,19,0,7.5,125.55066079295155,3.75,0.0,0.3603174603174603,0
252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,47.3533,-122.166,1220,8386,2014,29,29,0,3.5,236.16822429906543,3.5,0.0,0.11096131909156902,0
329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,47.3739,-122.172,2200,6865,2014,29,29,0,5.25,134.28571428571428,2.625,0.0,0.3769230769230769,0
233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,47.3048,-122.218,1030,4705,2014,73,73,0,5.0,136.25730994152048,3.3333333333333335,0.0,0.3640621673408559,0
